"ProjectName","Scenario","Watershed","Total.contributing.area.to.outlet..ha.","Precipitation..m.3.yr.","Precipitation.per.area..mm.yr.","Stream.discharge..m.3.yr.","Stream.discharge.per.area..mm.yr.","Total.hillslope.soil.loss..tonne.yr.","Total.hillslope.soil.loss.per.area..kg.ha.yr.","Total.channel.soil.loss..tonne.yr.","Total.channel.soil.loss.per.area..kg.ha.yr.","Sediment.discharge..tonne.yr.","Sediment.discharge.per.area..kg.ha.yr.","Sediment.delivery.ratio.for.watershed","Phosphorus.discharge..kg.yr.","Phosphorus.discharge.per.area..kg.ha.yr.","Particle.Fraction.Under.0.016.mm","Sediment.Yield.of.Particles.Under.0.016.mm..tonne.yr.","Sediment.Yield.of.Particles.Under.0.016.mm.per.area..kg.ha.yr."
"lt_202010_20_Mill_Creek_CurCond","CurCond","20_Mill_Creek",461.68,4319306,935.562727430255,2033030,440.354791197366,0.3,0.649800727776815,60,129.960145555363,60.3,130.60994628314,0.999,76.5,0.165699185583088,0.1908,11.50524,24.9203777508231
"lt_202010_20_Mill_Creek_HighSev","HighSev","20_Mill_Creek",461.68,4319306,935.562727430255,2827393,612.414009703691,1043,2259.14053023739,85.1,184.326806446023,1089.5,2359.8596430428,0.966,1213,2.62736094264426,0.1315,143.26925,310.321543060128
"lt_202010_20_Mill_Creek_LowSev","LowSev","20_Mill_Creek",461.68,4319306,935.562727430255,2474927,536.069788598163,10,21.6600242592272,73.5,159.20117830532,82.8,179.345000866401,0.991,103.5,0.224181251083001,0.1837,15.21036,32.9456766591579
"lt_202010_20_Mill_Creek_ModSev","ModSev","20_Mill_Creek",461.68,4319306,935.562727430255,2660003,576.157295096171,176.8,382.949228903136,79.5,172.197192860856,240.4,520.706983191821,0.938,278.2,0.6025818748917,0.1557,37.43028,81.0740772829666
"lt_202010_20_Mill_Creek_PrescFire","PrescFire","20_Mill_Creek",461.68,4319306,935.562727430255,2307793,499.868523652746,6,12.9960145555363,68.4,148.154565933114,74.6,161.583780973835,1.002,96.2,0.208369433373765,0.185,13.801,29.8929994801594
"lt_202010_20_Mill_Creek_SimFire.fccsFuels_obs_cli","SimFire_fccsFuels_obs_cli","20_Mill_Creek",461.68,4319306,935.562727430255,2589242,560.830445330099,52.5,113.715127360943,76.9,166.565586553457,128.7,278.764512216254,0.995,158.2,0.342661583780974,0.1704,21.93048,47.5014728816496
"lt_202010_20_Mill_Creek_SimFire.landisFuels_fut_cli_A2","SimFire_landisFuels_fut_cli_A2","20_Mill_Creek",461.68,3759519,814.312727430255,2178478,471.858863281927,333.1,721.495408074857,60.2,130.393346040548,385.6,835.2105354358,0.98,2105,4.55943510656732,0.1465,56.4904,122.358343441345
"lt_202010_20_Mill_Creek_SimFire.landisFuels_obs_cli","SimFire_landisFuels_obs_cli","20_Mill_Creek",461.68,4319306,935.562727430255,2594711,562.015032056836,82.1,177.828799168255,77.7,168.298388494195,157.3,340.712181597643,0.984,186.1,0.403093051464218,0.1618,25.45114,55.1272309824987
"lt_202010_20_Mill_Creek_Thinn85","Thinn85","20_Mill_Creek",461.68,4319306,935.562727430255,2399686,519.772569745278,1.9,4.11540460925316,71.5,154.869173453474,72.9,157.901576849766,0.994,94.1,0.203820828279328,0.1902,13.86558,30.0328799168255
"lt_202010_20_Mill_Creek_Thinn93","Thinn93","20_Mill_Creek",461.68,4319306,935.562727430255,2399217,519.670984231502,1.3,2.81580315369953,71.5,154.869173453474,72.1,156.168774909028,0.99,91.6,0.198405822214521,0.1915,13.80715,29.9063203950788
"lt_202010_20_Mill_Creek_Thinn96","Thinn96","20_Mill_Creek",461.68,4319306,935.562727430255,2399034,519.631346387108,1.2,2.59920291110726,71.5,154.869173453474,72.2,156.38537515162,0.994,91.5,0.198189221971929,0.1905,13.7541,29.7914139663836
